Auktion;Art;Klas.;Sort;Redskab;MSC;SeaPacked;Ks;Kilo;Slant;Ialt;Pris;Total;Område;Dato;Redskab;Sælger;Sælger navn;Sælger adresse;Post nr.;By;Land;Tlf;Email;Landingsdato;Fangst start;Fangst slut;FAO;Latin;Parti nr.
Strandby;Rødspætte;A;2;;SAND;FALSK;1;35;0;35;32;1103;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;PLE;Pleuronectes Platessa;21120203602
Strandby;Rødspætte;A;2;;SAND;FALSK;1;35;41;41;34;1374;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;PLE;Pleuronectes Platessa;21120203601
Strandby;Rødspætte;A;3;;SAND;FALSK;2;35;0;70;23;1593;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;PLE;Pleuronectes Platessa;21120203802
Strandby;Rødspætte;A;4;;SAND;FALSK;12;35;0;420;15;6216;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;PLE;Pleuronectes Platessa;21120203201
Strandby;Rødspætte;A;9;;SAND;FALSK;1;0;3;3;16;39;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;PLE;Pleuronectes Platessa;2,11202E+11
Strandby;Rødspætte;E;2;;SAND;FALSK;1;0;28;28;34;938;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;PLE;Pleuronectes Platessa;21120203401
Skagen;Rødspætte;E;2;TRAWL;SAND;FALSK;2;35;0;70;30;2100;27. 3A;02-11-2020;OTB;8542;Skagen Samlecentral;Auktionsvej;9990;Skagen;Denmark;;;02-11-2020;;;PLE;Pleuronectes Platessa;2,11202E+11
Strandby;Rødspætte;E;4;;SAND;FALSK;1;0;35;35;15;525;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;PLE;Pleuronectes Platessa;21120203101
Hanstholm;Skærising;A;1;TRAWL;FALSK;SAND;1;0;25;25;38;950;27.4.A;02-11-2020;OTB;HM 227;"HM 227 ""Myggenes""";"Lynge Fiskeri Aps. MC Revision
Havnegade 26,2";7680;Thyborøn;Denmark;;;02-11-2020;27-10-2020;31-10-2020;WIT;Glyptocephalus Cynoglossus;2,11202E+11
Strandby;Skærising;A;2;;FALSK;FALSK;9;35;30;310;54;16585;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;WIT;Glyptocephalus Cynoglossus;2,11202E+11
Strandby;Skærising;A;2;;FALSK;FALSK;6;35;10;185;56;10268;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;WIT;Glyptocephalus Cynoglossus;21120204505
Strandby;Skærising;A;2;;FALSK;FALSK;4;35;0;140;60;8330;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;WIT;Glyptocephalus Cynoglossus;21120204503
Skagen;Skærising;A;2;TRAWL;FALSK;FALSK;1;0;41;41;42;1702;27. 3A;02-11-2020;OTB;8542;Skagen Samlecentral;Auktionsvej;9990;Skagen;Denmark;;;02-11-2020;;;WIT;Glyptocephalus Cynoglossus;21120209201
Strandby;Skærising;A;3;;FALSK;FALSK;1;35;0;35;10;340;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;WIT;Glyptocephalus Cynoglossus;21120204408
Strandby;Skærising;A;3;;FALSK;FALSK;5;35;0;175;10;1750;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;WIT;Glyptocephalus Cynoglossus;21120204407
Strandby;Skærising;A;3;;FALSK;FALSK;1;35;0;35;13;462;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;WIT;Glyptocephalus Cynoglossus;21120204401
Hanstholm;Skærising;E;1;TRAWL;FALSK;SAND;3;30;0;90;36;3240;27.4.A;02-11-2020;OTB;HM 128;"HM 128 ""Borkumrif""";Bytorvet 34;7730;Hanstholm;Denmark;40364934 (Flemm);;02-11-2020;27-10-2020;01-11-2020;WIT;Glyptocephalus Cynoglossus;2,11202E+11
Hanstholm;Skærising;E;1;;FALSK;FALSK;1;0;27;27;37;999;;02-11-2020;;SAMLER;Hanstholm Samlecentral A/S;Auktionsgade 30;7730;Hanstholm;Denmark;;;02-11-2020;;;WIT;Glyptocephalus Cynoglossus;2,11202E+11
Hanstholm;Skærising;E;1;TRAWL;FALSK;SAND;1;0;18;18;41;738;27.3.AN;02-11-2020;OTB;HM 127;"HM 127  ""Karen Nielsen""";Bytorvet;7730;Hanstholm;Denmark;4797603255;;02-11-2020;28-10-2020;01-11-2020;WIT;Glyptocephalus Cynoglossus;2,11202E+11
Hanstholm;Skærising;E;2;TRAWL;FALSK;SAND;6;30;21;171;29;4959;27.4.A;02-11-2020;OTB;HM 227;"HM 227 ""Myggenes""";"Lynge Fiskeri Aps. MC Revision
Havnegade 26,2";7680;Thyborøn;Denmark;;;02-11-2020;27-10-2020;31-10-2020;WIT;Glyptocephalus Cynoglossus;2,11202E+11
Hanstholm;Skærising;E;2;TRAWL;FALSK;SAND;5;30;13;133;30;3924;27.4.A;02-11-2020;OTB;HM 128;"HM 128 ""Borkumrif""";Bytorvet 34;7730;Hanstholm;Denmark;40364934 (Flemm);;02-11-2020;27-10-2020;01-11-2020;WIT;Glyptocephalus Cynoglossus;2,11202E+11
Hanstholm;Skærising;E;2;TRAWL;FALSK;SAND;11;30;6;306;30;9180;27.4.A;02-11-2020;OTB;HM 289;"HM 289 ""Cyrano""";"Frederik Vendelbo Fiskeri ApS
Bornholms Forvaltning
Liseruten 1";3730;Nexø;Denmark;;;02-11-2020;26-10-2020;02-11-2020;WIT;Glyptocephalus Cynoglossus;2,11202E+11
Hanstholm;Skærising;E;2;TRAWL;FALSK;SAND;4;30;0;120;32;3780;27.4.A;02-11-2020;OTB;L 649;"L 649 ""Martine""";xvej 49;7680;Thyborøn;Denmark;;;02-11-2020;25-10-2020;01-11-2020;WIT;Glyptocephalus Cynoglossus;2,11202E+11
Hanstholm;Skærising;E;2;;FALSK;FALSK;4;35;38;143;33;4648;;02-11-2020;;SAMLER;Hanstholm Samlecentral A/S;Auktionsgade 30;7730;Hanstholm;Denmark;;;02-11-2020;;;WIT;Glyptocephalus Cynoglossus;2,11202E+11
Hanstholm;Skærising;E;2;TRAWL;FALSK;SAND;2;35;23;58;35;2030;27.3.AN;02-11-2020;OTB;HM 96;"HM 96 ""Janni""";Bytorvet;7730;Hanstholm;Denmark;30259853;;02-11-2020;29-10-2020;30-10-2020;WIT;Glyptocephalus Cynoglossus;2,11202E+11
Hanstholm;Skærising;E;2;TRAWL;FALSK;SAND;2;30;0;60;38;2280;27.3.AN;02-11-2020;OTB;HM 127;"HM 127  ""Karen Nielsen""";Bytorvet;7730;Hanstholm;Denmark;4797603255;;02-11-2020;28-10-2020;01-11-2020;WIT;Glyptocephalus Cynoglossus;2,11202E+11
Hanstholm;Skærising;E;2;TRAWL;FALSK;SAND;4;35;22;127;40;5080;27.4.B;02-11-2020;OTB;HM 120;"HM 120  ""Astoria""";Bytorvet;7730;Hanstholm;Denmark;23378703 - båd;hm120@dkfisker.dk;02-11-2020;30-10-2020;01-11-2020;WIT;Glyptocephalus Cynoglossus;2,11202E+11
Skagen;Skærising;E;2;TRAWL;FALSK;FALSK;1;0;10;10;42;418;27. 3AN;02-11-2020;OTB;S 486;S 486 Sajoni;;;;Denmark;;;02-11-2020;31-10-2020;01-11-2020;WIT;Glyptocephalus Cynoglossus;2,11202E+11
Strandby;Slethvarre;A;2;;FALSK;FALSK;0;0;1;1;25;13;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;BLL;Scophthalmus Rhombus;2,11202E+11
Strandby;Slethvarre;A;2;;FALSK;FALSK;3;25;14;64;32;2048;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;BLL;Scophthalmus Rhombus;21120205701
Strandby;Torsk;A;2;;FALSK;FALSK;3;25;0;75;44;3281;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;COD;Gadus Morhua;2,11202E+11
Strandby;Torsk;A;3;;FALSK;FALSK;2;25;0;50;40;2013;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;COD;Gadus Morhua;2,11202E+11
Strandby;Torsk;A;4;;FALSK;FALSK;17;25;28;428;29;12412;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;COD;Gadus Morhua;2,11202E+11
Strandby;Torsk;E;2;;FALSK;FALSK;2;25;0;50;44;2213;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;COD;Gadus Morhua;21120209503
Strandby;Torsk;E;4;;FALSK;FALSK;2;25;0;50;33;1625;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;COD;Gadus Morhua;21120209803
Skagen;Torsk;E;4;TRAWL;FALSK;FALSK;3;25;30;80;31;2440;27. 3A;02-11-2020;OTB;8542;Skagen Samlecentral;Auktionsvej;9990;Skagen;Denmark;;;02-11-2020;;;COD;Gadus Morhua;21120205201
Strandby;Tunge;B;9;;SAND;FALSK;0;0;3;3;5;13;;02-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;02-11-2020;;;SOL;Solea Solea;2,11202E+11
Strandby;Krabbeklør;E;2;;FALSK;FALSK;1;25;0;25;41;1013;;03-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;03-11-2020;;;CRE;Cancer pagurus;31120204301
Strandby;Kuller;A;2;;SAND;FALSK;1;0;17;17;10;170;;03-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;03-11-2020;;;HAD;Melanogrammus Aeglefinus;31120204001
Strandby;Kuller;A;3;;SAND;FALSK;3;35;0;105;7;756;;03-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;03-11-2020;;;HAD;Melanogrammus Aeglefinus;31120204101
Strandby;Kulmule;A;2;;SAND;FALSK;1;25;0;25;35;863;;03-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;03-11-2020;;;HKE;Merluccius Merluccius;31120201602
Strandby;Mørksej;A;3;;SAND;FALSK;3;35;15;85;16;1386;;03-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;03-11-2020;;;POK;Pollachius Virens;31120206701
Strandby;Mørksej;A;3;;SAND;FALSK;1;35;0;35;16;574;;03-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;03-11-2020;;;POK;Pollachius Virens;31120206703
Strandby;Rødspætte;A;4;;SAND;FALSK;1;35;41;41;15;615;;03-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;03-11-2020;;;PLE;Pleuronectes Platessa;3112020102
Strandby;Torsk;A;4;;FALSK;FALSK;2;25;0;50;27.25;1363;;03-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;03-11-2020;;;COD;Gadus Morhua;31120205701
Strandby;Torsk;E;4;;FALSK;FALSK;2;25;0;50;33;1625;;03-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;03-11-2020;;;COD;Gadus Morhua;31120205301
Strandby;Blålange;A;9;;FALSK;FALSK;1;0;21;21;9;189;;04-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;04-11-2020;;;BLI;Molva Dypterygia;41120202401
Strandby;Hvilling;A;2;;FALSK;FALSK;1;0;17;17;9;145;;04-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;04-11-2020;;;WHG;Merlaugius Merlangus;41120202001
Strandby;Kuller;A;3;;SAND;FALSK;4;35;0;140;7;1015;;04-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;04-11-2020;;;HAD;Melanogrammus Aeglefinus;41120203302
Strandby;Kulmule;A;1;;SAND;FALSK;1;25;8;8;34;272;;04-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;04-11-2020;;;HKE;Merluccius Merluccius;41120204701
Strandby;Kulmule;A;2;;SAND;FALSK;1;25;23;23;43;989;;04-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;04-11-2020;;;HKE;Merluccius Merluccius;41120204801
Strandby;Lange;A;1;;SAND;FALSK;1;0;15;15;17;248;;04-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;04-11-2020;;;LIN;Molva Molva;41120202801
Strandby;Lange;A;1;;SAND;FALSK;1;0;37;37;20;740;;04-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;04-11-2020;;;LIN;Molva Molva;41120202901
Strandby;Mørksej;A;3;;SAND;FALSK;3;35;0;105;19;1943;;04-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;04-11-2020;;;POK;Pollachius Virens;41120206701
Strandby;Pighvar;E;4;;FALSK;FALSK;1;0;10;10;20;200;;04-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;04-11-2020;;;TUR;Psetta Maxima;41120203901
Strandby;Rødspætte;A;3;;SAND;FALSK;2;35;0;70;22;1540;;04-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;04-11-2020;;;PLE;Pleuronectes Platessa;4112020603
Strandby;Rødspætte;A;4;;SAND;FALSK;5;35;0;175;16;2835;;04-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;04-11-2020;;;PLE;Pleuronectes Platessa;4112020103
Strandby;Skærising;A;2;;FALSK;FALSK;5;35;26;166;55;9130;;04-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;04-11-2020;;;WIT;Glyptocephalus Cynoglossus;41120201302
Strandby;Skærising;A;3;;FALSK;FALSK;2;35;0;70;9;602;;04-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;04-11-2020;;;WIT;Glyptocephalus Cynoglossus;41120201403
Strandby;Slethvarre;A;2;;FALSK;FALSK;1;0;20;20;28;560;;04-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;04-11-2020;;;BLL;Scophthalmus Rhombus;41120204901
Strandby;Torsk;A;4;;FALSK;FALSK;0;0;6;6;34;204;;04-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;04-11-2020;;;COD;Gadus Morhua;41120205701
Strandby;Torsk Indre fv.;A;4;;FALSK;FALSK;1;0;8;8;21;168;;04-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;04-11-2020;;;COD;Gadus Morhua;41120205801
Strandby;Tunge;B;9;;SAND;FALSK;1;0;7;7;5;35;;04-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;04-11-2020;;;SOL;Solea Solea;41120207201
Strandby;Hvilling;A;1;;FALSK;FALSK;3;35;0;105;18;1890;;05-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;05-11-2020;;;WHG;Merlaugius Merlangus;51120204101
Strandby;Hvilling;A;2;;FALSK;FALSK;3;35;16;86;13;1075;;05-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;05-11-2020;;;WHG;Merlaugius Merlangus;51120204001
Hirtshals;Kuller;A;2;;SAND;FALSK;1;0;16;16;14;224;27.3.AN;05-11-2020;;FFHI;F. F. Hirtshals;J. Fibigersgade 16;9850;Hirtshals;Denmark;98941437;;05-11-2020;;;HAD;Melanogrammus Aeglefinus;5,11202E+11
Strandby;Kuller;A;2;;SAND;FALSK;1;0;15;15;11;158;;05-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;05-11-2020;;;HAD;Melanogrammus Aeglefinus;51120203701
Hirtshals;Kuller;A;3;;SAND;FALSK;6;35;0;210;9;1943;27.3.AN;05-11-2020;;FFHI;F. F. Hirtshals;J. Fibigersgade 16;9850;Hirtshals;Denmark;98941437;;05-11-2020;;;HAD;Melanogrammus Aeglefinus;5,11202E+11
Strandby;Kuller;A;3;;SAND;FALSK;6;35;40;215;8;1634;;05-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;05-11-2020;;;HAD;Melanogrammus Aeglefinus;51120203601
Hirtshals;Kuller;E;3;TRAWL;SAND;FALSK;3;25;0;75;8;623;27.3.AN;05-11-2020;OTB;HM 127;"HM 127  ""Karen Nielsen""";Bytorvet;7730;Hanstholm;Denmark;4797603255;;05-11-2020;02-11-2020;04-11-2020;HAD;Melanogrammus Aeglefinus;5,11202E+11
Hirtshals;Kuller;E;3;TRAWL;SAND;FALSK;4;25;0;100;10;950;27.3.AN;05-11-2020;OTB;HM 127;"HM 127  ""Karen Nielsen""";Bytorvet;7730;Hanstholm;Denmark;4797603255;;05-11-2020;02-11-2020;04-11-2020;HAD;Melanogrammus Aeglefinus;5,11202E+11
Hirtshals;Kulmule;A;1;;SAND;FALSK;1;0;18;18;33;594;27.3.AN;05-11-2020;;FFHI;F. F. Hirtshals;J. Fibigersgade 16;9850;Hirtshals;Denmark;98941437;;05-11-2020;;;HKE;Merluccius Merluccius;5,11202E+11
Strandby;Kulmule;A;1;;SAND;FALSK;1;0;10;10;41;410;;05-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;05-11-2020;;;HKE;Merluccius Merluccius;51120205601
Strandby;Lange;A;2;;SAND;FALSK;0;0;6;6;23;135;;05-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;05-11-2020;;;LIN;Molva Molva;51120205801
Hirtshals;Lyssej;E;3;TRAWL;FALSK;FALSK;1;0;25;25;25;625;27.3.AN;05-11-2020;OTB;HM 127;"HM 127  ""Karen Nielsen""";Bytorvet;7730;Hanstholm;Denmark;4797603255;;05-11-2020;02-11-2020;04-11-2020;POL;Pollachius Pollachius;5,11202E+11
Strandby;Mørksej;A;2;;SAND;FALSK;1;35;0;35;19;674;;05-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;05-11-2020;;;POK;Pollachius Virens;51120207002
Strandby;Mørksej;A;3;;SAND;FALSK;2;35;0;70;19;1313;;05-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;05-11-2020;;;POK;Pollachius Virens;51120207101
Strandby;Rødspætte;A;2;;SAND;FALSK;1;0;21;21;34;714;;05-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;05-11-2020;;;PLE;Pleuronectes Platessa;5112020401
Strandby;Rødspætte;A;3;;SAND;FALSK;1;35;30;30;25;750;;05-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;05-11-2020;;;PLE;Pleuronectes Platessa;5112020302
Strandby;Skærising;A;2;;FALSK;FALSK;8;35;21;266;40;10574;;05-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;05-11-2020;;;WIT;Glyptocephalus Cynoglossus;51120201603
Strandby;Skærising;A;3;;FALSK;FALSK;5;35;29;169;11;1825;;05-11-2020;;FS;Fiskernes Samlecentral;Auktionskaj 7 1. tv;9970;Strandby;Denmark;;;05-11-2020;;;WIT;Glyptocephalus Cynoglossus;51120201503
